Displacement,Force
1.064559,50.32
2.5915230000000005,35.059998
2.018072,118.920003
3.5447290000000002,223.8
1.860841,23.220000000000002
0.798726,32.959999999999994
2.240081,134.279996
3.5894009999999996,226.779996
2.4320649999999997,148.12000700000002
3.01807,188.499997
2.620578,161.40000600000002
2.7628450000000004,37.919999
3.2609009999999996,205.199994
1.019397,47.439999
3.185065,200.12000700000002
3.433509,49.099999
0.6564030000000001,23.439999
2.148577,128.320004
2.201568,131.85999800000002
2.922079,182.07999900000002
3.196066,200.779996
3.247083,204.199994
2.243894,134.62000700000002
0.718394,27.420001
0.46690600000000004,11.600000000000001
0.561078,17.46
3.0890630000000003,193.35999800000002
1.589243,87.939999
1.249525,12.82
1.474126,16.580001
3.283901,206.760007
1.668231,93.460004
1.828723,105.3
1.956166,24.439999
1.301083,67.020001
3.7035600000000004,233.63999600000002
0.32427700000000004,1.888706
2.052786,26.099999
1.732076,98.219998
2.5675689999999998,157.520001
2.719563,167.919995
2.3370620000000004,141.35999800000002
2.5667340000000003,157.520001
1.816194,22.32
1.4269,75.88000199999999
1.251897,63.48
3.419073,215.820004
1.550558,85.280003
3.204231,201.439999
2.7897309999999997,172.90000600000002
3.068829,43.239999
2.6837350000000004,165.479993
0.602731,19.900000000000002
3.1022309999999997,194.479993
1.1845690000000002,58.719998
0.9738990000000001,44.459999999999994
0.983067,45.12
3.0252410000000003,189.279996
0.971396,44.340000999999994
1.064892,50.439999
3.128399,196.35999800000002
1.857582,107.3
1.0650590000000002,50.540001999999994
1.22523,61.599999
0.7702470000000001,30.96
1.403739,74.319997
0.646394,22.78
1.065892,50.540001999999994
2.4619020000000003,150.10000300000002
3.05108,191.040005
1.8941810000000001,23.54
1.942067,113.499997
3.380731,213.05999500000001
1.29274,66.35999799999999
1.175086,58.180001
2.230068,133.960004
0.34685000000000005,3.365925
2.4775669999999996,151.219998
2.102182,26.98
0.902223,39.8
3.3944020000000004,214.16000100000002
1.371585,72.11999999999999
2.9468259999999997,41.020001
0.710242,27.080001
1.172735,58.059998
0.6365670000000001,22.099999
2.229907,133.740002
1.146175,11.260000000000002
2.1870659999999997,130.63999600000002
2.7080580000000003,167.260007
1.3479130000000001,70.340001
0.700582,26.2
0.34493300000000005,3.2405
2.2841180000000003,29.96
1.194823,12.040000000000001
2.3501589999999997,31.060000000000002
2.1590800000000003,128.85999800000002
2.9768990000000004,185.83999300000002
2.3808439999999997,31.519999000000002
1.030566,48.219998
2.728568,168.8
0.8208380000000001,5.52
0.678077,24.88
0.694845,3.96
0.564187,2.8600000000000003
2.331588,140.919995
2.8324040000000004,175.779996
2.150182,27.64
1.506401,81.960004
3.2668220000000003,46.340000999999994
0.896753,39.360001
2.027232,119.579999
1.34239,70.020001
0.37410800000000005,5.149735
1.558902,85.719998
3.4781560000000002,49.759999
3.233747,203.219998
0.840573,35.719998
0.712744,27.080001
1.076065,51.200002
1.722192,20.78
1.752076,99.660001
1.447487,16.24
2.160852,27.98
0.714234,27.080001
2.795249,173.240002
0.49357100000000004,13.14
3.240234,203.760007
2.236568,134.279996
3.3585570000000002,211.62000700000002
1.835077,105.85999799999999
2.6922420000000002,166.260007
0.9699000000000001,44.239999
3.5528969999999997,224.460004
0.46974400000000005,11.600000000000001
3.2890569999999997,207.07999900000002
0.888899,38.919999
0.536783,2.6399999999999997
0.6708970000000001,24.439999
0.4921380000000001,2.3
3.10457,194.8
1.360084,71.460004
3.648904,230.320004
2.013529,25.54
3.5354150000000004,223.33999300000002
1.730915,98.11999999999999
1.522916,83.179997
0.594908,19.340001
2.734903,169.020001
1.465077,78.759999
2.434737,148.219998
0.37545500000000004,0.9800000000000001
1.96281,24.660001
1.612735,89.600003
2.860233,177.88000200000002
1.4695610000000001,79.3
1.2004000000000001,59.840000999999994
2.3462379999999996,142.040005
2.042243,120.679997
0.8439000000000001,35.82
2.4892320000000003,152.10000300000002
1.894864,23.660001
2.706182,36.719998
1.24157,62.82
2.327567,140.60000300000002
2.110233,125.439999
2.1349169999999997,127.200002
3.3777340000000002,212.939999
2.92873,182.63999600000002
2.232193,29.080001
3.747737,236.40000600000002
1.0901390000000002,10.38
2.5845700000000003,158.83999300000002
2.4594430000000003,32.959999999999994
1.4854070000000001,80.420003
2.7225660000000005,168.13999600000002
3.038417,189.939999
1.706248,96.460004
3.134206,43.899998
3.280775,46.660000999999994
1.0835780000000002,51.860001
0.978118,8.280000000000001
0.7852300000000001,32.06
1.7692350000000001,100.88000199999999
0.619441,3.42
2.737412,169.240002
1.923568,112.280003
0.769463,4.52
2.394566,145.57999900000002
3.666901,231.760007
1.08789,51.860001
3.5927940000000005,51.98
3.684571,232.63999600000002
1.642195,19.560000000000002
1.426404,76.200002
3.026782,42.239999
2.09024,124.11999999999999
3.064902,191.919995
1.6655630000000001,93.679997
0.42841100000000004,8.703421
0.6394,22.220000000000002
2.380897,144.35999800000002
2.8790639999999996,179.10000300000002
1.031727,48.219998
2.792905,173.33999300000002
2.339899,141.699994
0.556838,2.8600000000000003
3.6577330000000003,230.979993
3.4307879999999997,48.880002
0.36537600000000003,4.578358
0.505564,13.92
3.3928130000000003,48.540001999999994
2.899751,180.419995
3.430403,216.479993
1.3484070000000001,70.460004
0.30787900000000007,0.815633
1.721524,20.900000000000002
2.213404,132.520001
1.4669,79.200002
0.746078,29.420001
0.5857450000000001,19.019999000000002
2.2625840000000004,136.18000500000002
0.8688990000000001,37.700002
2.883564,179.540005
1.29573,66.700002
3.606084,227.88000200000002
0.866066,37.380002
1.22957,62.040001999999994
3.1301240000000004,44.12
2.094729,124.340001
0.6600630000000001,23.660001
1.4007340000000001,74.219998
0.42202200000000006,8.28534
3.126899,196.020001
2.131901,127.100003
1.5357340000000002,83.740002
2.9694149999999997,185.3
