Zeit_s;Kraft_N;Weg_mm;Durchbiegung fm_mm;Biegespannung_MPa
0,160000;0,027885;0,000194;0,000000;0,009953
0,180000;0,055771;0,000388;0,000000;0,019906
0,200000;0,083656;0,000582;0,000000;0,029860
0,220000;0,111542;0,000776;0,000000;0,039813
0,240000;0,139427;0,000970;0,000000;0,049766
0,260000;0,167313;0,001163;0,000000;0,059719
0,280000;0,195198;0,001357;0,000000;0,069672
0,300000;0,223084;0,001551;0,000000;0,079625
0,320000;0,250969;0,001745;0,000000;0,089579
0,340000;0,278855;0,001939;0,000000;0,099532
0,360000;0,306740;0,002133;0,000000;0,109485
0,380000;0,334626;0,002327;0,000000;0,119438
0,400000;0,362511;0,002521;0,000000;0,129391
0,420000;0,390396;0,002715;0,000000;0,139344
0,440000;0,418282;0,002909;0,000000;0,149298
0,460000;0,446167;0,003102;0,000000;0,159251
0,480000;0,474053;0,003296;0,000000;0,169204
0,500000;0,501938;0,003490;0,000000;0,179157
0,520000;0,529824;0,003684;0,000000;0,189110
0,540000;0,557709;0,003878;0,000000;0,199063
0,560000;0,585595;0,004072;0,000000;0,209017
0,580000;0,613480;0,004266;0,000000;0,218970
0,600000;0,641366;0,004460;0,000000;0,228923
0,620000;0,669251;0,004654;0,000000;0,238876
0,640000;0,697136;0,004848;0,000000;0,248829
0,660000;0,725022;0,005042;0,000000;0,258782
0,680000;0,752907;0,005235;0,000000;0,268736
0,700000;0,780793;0,005429;0,000000;0,278689
0,720000;0,808678;0,005623;0,000000;0,288642
0,740000;0,836564;0,005817;0,000000;0,298595
0,760000;0,864449;0,006011;0,000000;0,308548
0,780000;0,892335;0,006205;0,000000;0,318501
0,800000;0,920220;0,006399;0,000000;0,328455
0,820000;0,948106;0,006593;0,000000;0,338408
0,840000;0,975991;0,006787;0,000000;0,348361
0,860000;1,003877;0,006981;0,000000;0,358314
0,880000;1,031762;0,007175;0,000000;0,368267
0,900000;1,059647;0,007368;0,000000;0,378220
0,920000;1,087533;0,007562;0,000000;0,388174
0,940000;1,115418;0,007756;0,000000;0,398127
0,960000;1,143304;0,007950;0,000000;0,408080
0,980000;1,171189;0,008144;0,000000;0,418033
1,000000;1,199075;0,008338;0,000000;0,427986
1,020000;1,226960;0,008532;0,000000;0,437939
1,040000;1,254846;0,008726;0,000000;0,447893
1,060000;1,282731;0,008920;0,000000;0,457846
1,080000;1,310617;0,009114;0,000000;0,467799
1,100000;1,338502;0,009307;0,000000;0,477752
1,120000;1,366388;0,009501;0,000000;0,487705
1,140000;1,394273;0,009695;0,000000;0,497658
1,160000;1,422158;0,009889;0,000000;0,507612
1,180000;1,450044;0,010083;0,000000;0,517565
1,200000;1,477929;0,010277;0,000000;0,527518
1,220000;1,505815;0,010471;0,000000;0,537471
