Zeit_s;Kraft_N;Weg_mm;Durchbiegung fm_mm;Biegespannung_MPa
0,160000;0,024809;0,000165;0,000000;0,008855
0,180000;0,049617;0,000331;0,000000;0,017710
0,200000;0,074426;0,000496;0,000000;0,026565
0,220000;0,099235;0,000662;0,000000;0,035420
0,240000;0,124043;0,000827;0,000000;0,044275
0,260000;0,148852;0,000992;0,000000;0,053130
0,280000;0,173660;0,001158;0,000000;0,061985
0,300000;0,198469;0,001323;0,000000;0,070840
0,320000;0,223278;0,001488;0,000000;0,079695
0,340000;0,248086;0,001654;0,000000;0,088550
0,360000;0,272895;0,001819;0,000000;0,097405
0,380000;0,297704;0,001985;0,000000;0,106260
0,400000;0,322512;0,002150;0,000000;0,115114
0,420000;0,347321;0,002315;0,000000;0,123969
0,440000;0,372130;0,002481;0,000000;0,132824
0,460000;0,396938;0,002646;0,000000;0,141679
0,480000;0,421747;0,002812;0,000000;0,150534
0,500000;0,446556;0,002977;0,000000;0,159389
0,520000;0,471364;0,003142;0,000000;0,168244
0,540000;0,496173;0,003308;0,000000;0,177099
0,560000;0,520981;0,003473;0,000000;0,185954
0,580000;0,545790;0,003639;0,000000;0,194809
0,600000;0,570599;0,003804;0,000000;0,203664
0,620000;0,595407;0,003969;0,000000;0,212519
0,640000;0,620216;0,004135;0,000000;0,221374
0,660000;0,645025;0,004300;0,000000;0,230229
0,680000;0,669833;0,004465;0,000000;0,239084
0,700000;0,694642;0,004631;0,000000;0,247939
0,720000;0,719451;0,004796;0,000000;0,256794
0,740000;0,744259;0,004962;0,000000;0,265649
0,760000;0,769068;0,005127;0,000000;0,274504
0,780000;0,793877;0,005292;0,000000;0,283359
0,800000;0,818685;0,005458;0,000000;0,292214
0,820000;0,843494;0,005623;0,000000;0,301069
0,840000;0,868302;0,005789;0,000000;0,309924
0,860000;0,893111;0,005954;0,000000;0,318779
0,880000;0,917920;0,006119;0,000000;0,327633
0,900000;0,942728;0,006285;0,000000;0,336488
0,920000;0,967537;0,006450;0,000000;0,345343
0,940000;0,992346;0,006615;0,000000;0,354198
0,960000;1,017154;0,006781;0,000000;0,363053
0,980000;1,041963;0,006946;0,000000;0,371908
1,000000;1,066772;0,007112;0,000000;0,380763
1,020000;1,091580;0,007277;0,000000;0,389618
1,040000;1,116389;0,007442;0,000000;0,398473
1,060000;1,141198;0,007608;0,000000;0,407328
1,080000;1,166006;0,007773;0,000000;0,416183
1,100000;1,190815;0,007939;0,000000;0,425038
1,120000;1,215623;0,008104;0,000000;0,433893
1,140000;1,240432;0,008269;0,000000;0,442748
1,160000;1,265241;0,008435;0,000000;0,451603
1,180000;1,290049;0,008600;0,000000;0,460458
1,200000;1,314858;0,008766;0,000000;0,469313
1,220000;1,339667;0,008931;0,000000;0,478168
1,240000;1,364475;0,009096;0,000000;0,487023
1,260000;1,389284;0,009262;0,000000;0,495878
1,280000;1,414093;0,009427;0,000000;0,504733
1,300000;1,438901;0,009592;0,000000;0,513588
1,320000;1,463710;0,009758;0,000000;0,522443
1,340000;1,488519;0,009923;0,000000;0,531298
1,360000;1,513327;0,010089;0,000000;0,540152
1,380000;1,538136;0,010254;0,000000;0,549007
1,400000;1,562944;0,010419;0,000000;0,557862
1,420000;1,587753;0,010585;0,000000;0,566717
1,440000;1,612562;0,010750;0,000000;0,575572
1,460000;1,637370;0,010916;0,000000;0,584427
1,480000;1,662179;0,011081;0,000000;0,593282
1,500000;1,686988;0,011246;0,000000;0,602137
1,520000;1,711796;0,011412;0,000000;0,610992
1,540000;1,736605;0,011577;0,000000;0,619847
1,560000;1,761414;0,011742;0,000000;0,628702
1,580000;1,786222;0,011908;0,000000;0,637557
1,600000;1,811031;0,012073;0,000000;0,646412
1,620000;1,835840;0,012239;0,000000;0,655267
1,640000;1,860648;0,012404;0,000000;0,664122
1,660000;1,885457;0,012569;0,000000;0,672977
1,680000;1,910265;0,012735;0,000000;0,681832
1,700000;1,935074;0,012900;0,000000;0,690687
1,720000;1,959883;0,013066;0,000000;0,699542
1,740000;1,984691;0,013231;0,000000;0,708397
1,760000;2,009500;0,013396;0,000000;0,717252
1,780000;2,034309;0,013562;0,000000;0,726107
1,800000;2,059117;0,013727;0,000000;0,734962
1,820000;2,083926;0,013892;0,000000;0,743817
1,840000;2,108735;0,014058;0,000000;0,752671
1,860000;2,133543;0,014223;0,000000;0,761526
1,880000;2,158352;0,014389;0,000000;0,770381
1,900000;2,183161;0,014554;0,000000;0,779236
1,920000;2,207969;0,014719;0,000000;0,788091
1,940000;2,232778;0,014885;0,000000;0,796946
1,960000;2,257586;0,015050;0,000000;0,805801
1,980000;2,282395;0,015216;0,000000;0,814656
2,000000;2,307204;0,015381;0,000000;0,823511
