Zeit_s;Kraft_N;Weg_mm;Durchbiegung fm_mm;Biegespannung_MPa
0,180000;0,012722;0,000092;0,000000;0,004541
0,200000;0,025445;0,000184;0,000000;0,009082
0,220000;0,038167;0,000276;0,000000;0,013623
0,240000;0,050889;0,000367;0,000000;0,018164
0,260000;0,063612;0,000459;0,000000;0,022705
0,280000;0,076334;0,000551;0,000000;0,027246
0,300000;0,089057;0,000643;0,000000;0,031787
0,320000;0,101779;0,000735;0,000000;0,036328
0,340000;0,114501;0,000827;0,000000;0,040869
0,360000;0,127224;0,000919;0,000000;0,045410
0,380000;0,139946;0,001011;0,000000;0,049951
0,400000;0,152668;0,001102;0,000000;0,054492
0,420000;0,165391;0,001194;0,000000;0,059033
0,440000;0,178113;0,001286;0,000000;0,063574
0,460000;0,190836;0,001378;0,000000;0,068115
0,480000;0,203558;0,001470;0,000000;0,072656
0,500000;0,216280;0,001562;0,000000;0,077197
0,520000;0,229003;0,001654;0,000000;0,081738
0,540000;0,241725;0,001745;0,000000;0,086279
0,560000;0,254447;0,001837;0,000000;0,090820
0,580000;0,267170;0,001929;0,000000;0,095361
0,600000;0,279892;0,002021;0,000000;0,099902
0,620000;0,292615;0,002113;0,000000;0,104443
0,640000;0,305337;0,002205;0,000000;0,108984
0,660000;0,318059;0,002297;0,000000;0,113525
0,680000;0,330782;0,002388;0,000000;0,118066
0,700000;0,343504;0,002480;0,000000;0,122607
0,720000;0,356226;0,002572;0,000000;0,127148
0,740000;0,368949;0,002664;0,000000;0,131689
0,760000;0,381671;0,002756;0,000000;0,136230
0,780000;0,394394;0,002848;0,000000;0,140771
0,800000;0,407116;0,002940;0,000000;0,145312
0,820000;0,419838;0,003032;0,000000;0,149853
0,840000;0,432561;0,003123;0,000000;0,154394
0,860000;0,445283;0,003215;0,000000;0,158935
0,880000;0,458005;0,003307;0,000000;0,163476
0,900000;0,470728;0,003399;0,000000;0,168017
0,920000;0,483450;0,003491;0,000000;0,172558
0,940000;0,496173;0,003583;0,000000;0,177099
0,960000;0,508895;0,003675;0,000000;0,181640
0,980000;0,521617;0,003766;0,000000;0,186181
1,000000;0,534340;0,003858;0,000000;0,190722
1,020000;0,547062;0,003950;0,000000;0,195263
1,040000;0,559784;0,004042;0,000000;0,199804
1,060000;0,572507;0,004134;0,000000;0,204345
1,080000;0,585229;0,004226;0,000000;0,208886
1,100000;0,597952;0,004318;0,000000;0,213427
1,120000;0,610674;0,004410;0,000000;0,217968
1,140000;0,623396;0,004501;0,000000;0,222509
1,160000;0,636119;0,004593;0,000000;0,227050
1,180000;0,648841;0,004685;0,000000;0,231591
1,200000;0,661563;0,004777;0,000000;0,236132
