Displacement,Force
3.75441,230.860007
3.2409049999999997,197.120001
3.742402,230.200003
1.799397,96.120001
0.668066,17.779999
1.612737,82.4
3.162839,43.120001
3.893513,55.280001
3.800398,233.620001
1.531567,76.41999700000001
1.9004180000000002,103.300002
3.213399,195.120001
1.8460679999999998,99.31999800000001
3.885897,238.93999300000002
3.15623,191.480002
3.0168999999999997,181.860007
2.208061,125.31999800000001
3.359479,46.319998
3.24141,197.220007
3.192406,193.799994
3.6183989999999997,222.459998
0.846913,29.619999
3.438913,210.500006
3.917518,55.74
1.610741,82.27999700000001
1.848185,21.22
2.5119119999999997,146.659995
1.5984150000000001,81.4
1.620742,83.060004
1.133741,48.42
3.2353989999999997,196.78000500000002
1.368571,64.91999700000001
1.5648119999999999,16.680000999999997
3.851401,236.840002
2.648902,156.299994
3.155394,191.360007
2.158398,121.77999700000001
3.066143,41.460001
3.5348509999999997,49.199999
2.620729,154.299994
1.354743,64.019999
1.6934900000000002,18.779999
0.610396,14.14
0.459627,4.302086
3.938853,56.179998999999995
3.847573,236.840002
2.924728,175.539999
2.806848,37.140001999999996
2.796569,166.480002
2.206391,125.20000300000001
1.5908980000000001,80.739996
1.901078,103.300002
1.090408,45.780001
2.540734,148.659995
1.293059,59.600001
3.56952,49.980002
0.579582,12.26
3.0825739999999997,186.28000500000002
2.303409,132.179999
1.6549,85.499998
1.087237,45.440000999999995
0.7177420000000001,21.100001
3.6568069999999997,51.42
3.4884049999999998,213.720007
1.286248,59.039999
0.951909,36.699999
0.788587,25.639999999999997
0.525642,8.622252
1.6627330000000002,86.03999900000001
2.8469059999999997,170.019995
2.15574,121.880003
0.83857,28.959999
0.822122,4.18
2.455438,31.5
3.001738,180.640005
0.6359060000000001,16.12
0.43748000000000004,2.85274
3.861898,237.500006
3.514898,215.480002
3.5253929999999998,216.039999
1.614566,82.72
3.0659039999999997,185.28000500000002
1.4689040000000002,71.999998
1.9809,109.27999700000001
2.256404,128.640005
1.886238,102.41999700000001
0.549234,10.38
3.020812,40.58
2.8275609999999998,168.799994
3.0367319999999998,183.060004
1.900912,103.41999700000001
0.995447,6.94
3.403248,208.179999
2.4143939999999997,139.920004
0.8114129999999999,27.299999999999997
2.454103,31.279999
0.862564,30.619999
1.5964040000000002,81.17999900000001
1.826733,98.22
3.145489,42.9
1.537401,77.08000000000001
1.8013970000000001,96.120001
0.403407,0.622976
3.364724,205.73999600000002
3.2917359999999998,200.659995
2.031568,112.81999800000001
1.593225,81.060004
2.9034,173.78000500000002
1.489525,15.24
1.37221,13.24
2.571087,150.879996
3.6789069999999997,226.319998
2.144163,26.199999
2.72175,161.500006
1.753523,19.88
2.8098989999999997,167.360007
2.114732,118.9
3.676895,225.879996
3.900576,239.599997
1.069236,44.120001
3.196748,194.23999600000002
1.022237,41.120001
2.978738,178.980002
1.6412330000000002,84.499998
0.6840809999999999,18.779999
2.303242,132.179999
3.549506,49.42
1.19574,52.519999
1.476175,15.120000000000001
1.291396,59.159998
0.576903,11.92
2.048569,114.03999900000001
3.612251,221.9
2.500746,146.000006
3.676832,51.640001999999996
3.490569,213.93999300000002
2.994065,180.200003
0.922396,34.480002
1.9935749999999999,110.060004
2.134395,119.999998
0.572067,11.92
0.980235,38.359999
0.852568,29.840000999999997
2.641419,155.860007
1.3038910000000001,60.039999
2.155579,121.660002
0.744855,3.7399999999999998
3.851903,236.620001
3.600743,221.120001
3.121397,188.93999300000002
0.644175,2.7399999999999998
2.605245,153.200003
1.576409,79.84000200000001
1.0784150000000001,44.879999999999995
1.733733,91.239996
3.351737,204.76000100000002
1.6949040000000002,88.359999
3.6413949999999997,223.659995
3.846168,54.620001
1.4642330000000001,71.660002
3.885233,238.720007
3.70953,52.179998999999995
2.947724,176.980002
3.016565,181.860007
1.2361499999999999,11.040000000000001
0.794188,4.0600000000000005
0.599901,13.46
3.627735,223.000006
0.6521669999999999,2.84
0.8601650000000001,4.4
2.189583,124.099997
1.217914,54.4
1.578897,80.17999900000001
1.679418,87.260001
1.200065,52.960001
1.9260640000000002,105.17999900000001
2.944569,176.659995
2.8928119999999997,38.58
2.595577,152.640005
0.48744600000000005,1.1800000000000002
3.779534,53.519999
0.705072,20.32
2.9950609999999998,180.299994
0.49151300000000003,1.3
3.433564,209.959998
1.575078,79.739996
3.533073,216.700003
3.0894,186.720007
0.578075,12.360000000000001
0.683744,19.0
3.9059,240.039999
3.726073,229.319998
1.12325,47.659998
2.556828,32.819998
1.1745640000000002,51.199999
0.406389,0.8180810000000001
3.205068,194.679999
1.021737,41.24
3.5699039999999997,219.140005
