Displacement,Force
1.88291,130.220001
3.512248,239.979996
0.113291,7.413963
0.695532,8.1
1.565404,107.540001
2.626568,182.119995
2.43607,168.720001
1.690897,116.739998
3.365403,231.339996
2.515908,174.380005
2.510235,174.139999
2.77123,191.960007
1.991224,137.860001
3.322835,52.02
2.160827,32.540001
2.824061,195.720001
3.377072,231.899994
3.367567,231.240005
1.045565,70.160004
1.09723,73.580002
1.191729,80.559998
1.057464,14.18
2.462161,37.52
2.12274,147.160004
3.136235,216.740005
3.252066,223.940002
1.798802,26.559999
3.386576,232.559998
1.939416,133.979996
1.635406,112.639999
1.096071,73.480003
1.775469,26.34
1.344065,91.620003
2.460792,37.52
3.307907,227.580002
0.637515,7.2
2.627897,182.119995
1.538873,22.360001
2.934768,45.48
2.316897,160.539993
2.966229,205.240005
2.213733,153.339996
0.027684,1.811683
1.003079,67.059998
2.893726,200.360001
0.511399,33.419998
1.745233,120.720001
2.067244,143.279999
0.143104,9.365006
3.467912,237.539993
1.866235,129.119995
0.235469,2.34
2.632915,182.559998
2.696729,186.979996
0.470904,30.66
0.937066,62.18
0.847565,55.880001
1.1614,78.239998
0.720807,8.64
0.198062,13.06
0.853242,56.32
1.414227,96.599998
3.522901,55.439999
2.718733,188.300003
2.534841,38.84
0.619075,40.619999
1.788074,123.580002
2.564412,177.679993
1.113057,74.699997
3.336892,229.460007
2.103503,31.540001
3.093567,213.539993
2.290194,34.759998
2.837228,196.5
1.357736,92.620003
2.551067,177.020004
2.692085,186.419998
0.400747,26.120001
1.919571,133.0
3.338799,52.240002
2.505239,173.600006
3.25814,51.02
2.615397,181.339996
2.240086,155.339996
1.865568,128.899994
2.563574,177.679993
2.062732,143.059998
2.449433,37.299999
0.536402,35.200001
1.423902,97.379997
2.953394,204.360001
0.969071,64.519997
1.92549,28.66
1.968564,136.199997
1.400736,95.82
1.251228,84.860001
0.535567,35.200001
1.750735,121.040001
2.132811,31.98
0.193736,12.84
1.674246,115.400002
0.610903,40.060001
1.21907,82.660004
2.376794,35.959999
0.032156,2.104339
2.793465,43.040001
3.041401,210.220001
2.382177,36.299999
1.287732,87.639999
1.608398,110.860001
0.955911,63.740002
3.25707,224.479996
3.498163,55.099998
2.190393,151.800003
0.705516,8.32
1.657499,24.360001
1.422067,97.260002
2.131501,32.200001
3.479248,237.979996
1.32206,89.959999
2.126243,147.380005
2.150068,149.139999
2.817744,195.279999
1.944229,134.660004
1.161233,78.339996
2.519746,174.820007
3.416823,53.779999
3.544895,55.880001
1.31307,89.400002
3.314907,228.139999
0.58683,6.32
2.488732,172.479996
0.337396,21.92
1.760174,25.9
2.932905,203.020004
0.580235,37.959999
2.351734,163.080002
0.066867,4.375911
0.412575,26.9
2.926397,202.580002
3.110844,48.580002
1.557253,106.879997
1.29008,87.639999
1.200831,16.719999
0.552737,36.200001
0.897412,59.419998
3.451498,54.119999
0.62872,41.16
